group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
Mid Stay,Accommodation,Mid Stay 60-89,Mid Stay 60-89,,a30cfaf5-e358-43ef-859a-b420007dbbbb,Mid Stay 60-89,,true,true,false,false,Private,Dependent,Mid Stay 29-59 (BASE),8a37a572-ef8a-477e-ba03-b420007d7e8e,-10%,0,,GBP,1,Mid Stay 29-59 (BASE)
Mid Stay,Accommodation,Mid Stay 90-119,Mid Stay 90-119,,f02e5c04-151e-4f59-a962-b420007def75,Mid Stay 90-119,,true,true,false,false,Private,Dependent,Mid Stay 29-59 (BASE),8a37a572-ef8a-477e-ba03-b420007d7e8e,-20%,0,,GBP,1,Mid Stay 29-59 (BASE)
Neighbour,Accommodation,PROMO-NEIGHBOUR,,,9ac3fd39-e355-45d9-aea6-b3ed00fc7ec0,P,,false,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,f9df0eba-8788-4163-9c73-b3e00110df48,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OTA Flexible,Accommodation,AUTO OTA Expedia Flexible,Best Flexible,,5fba0fae-5e82-4911-941c-b3ed00e6d82a,AOEF,EXFX,false,false,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,f9df0eba-8788-4163-9c73-b3e00110df48,0%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OTA Flexible,Accommodation,AUTO OTA Expedia Flexible 1N,Best Flexible,,501826f8-a1c3-4b29-93e7-b3ed00e7aba3,AOEFN,EX1N,false,false,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate 1N,37cda09a-f47e-433e-b0b7-b3ed00d81b89,0%,0,,GBP,2,AUTO M&F Insider - Best Flexible Rate 1N → AUTO M&F Insider - Best Flexible Rate
Public,Accommodation,AUTO GDS Best Flexible,Best Flexible,,b07347fd-0125-4887-9cb0-b3ed00d145e6,AGBF,GDS,false,false,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,f9df0eba-8788-4163-9c73-b3e00110df48,0%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Public,Accommodation,GDS Business Breakfast Inc,GDS Business Breakfast Inc,,bf58486b-096d-4467-976c-b41700e814e9,GDS Business Breakfast Inc ,,true,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-15%,0,,GBP,1,OTA BASE: Flexible
Public,Accommodation,GDS Corporate RO Rate,GDS Corporate RO Rate,,0d2e6c24-6218-4d68-8c25-b41700e7da6a,GDS Corporate RO Rate,,true,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-10%,0,,GBP,1,OTA BASE: Flexible
Public,Accommodation,GDS Corporate RO Rate,GDS Corporate RO Rate,,0e9ec04a-1d44-4120-b5f2-b416007f6cfd,GDS Corporate RO Rate,,false,true,false,false,Private,Dependent,GDS Flexible,5806ae77-ad0b-433e-98a3-b416007ebbc1,0%,0,,GBP,2,GDS Flexible → OTA BASE: Flexible
Public,Accommodation,GDS Flexible,GDS Flexible,,5806ae77-ad0b-433e-98a3-b416007ebbc1,GDS Flexible,,true,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-10%,0,,GBP,1,OTA BASE: Flexible
Public,Accommodation,GDS Government,GDS Government,,21580335-e585-4194-9ae2-b41700e7a7f4,GDS Government,,true,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-10%,0,,GBP,1,OTA BASE: Flexible
Public,Accommodation,OTA BASE: Flexible,Flexible Rate,,df9a9345-90e4-4b1b-8f5b-b41100a7c319,FLEX,OTA Base: Flex,true,true,false,true,Private,Base,,,,,9999,GBP,0,
Public,Accommodation,OTA: 1 Night Rate,OTA: 1 Night Rate,,2f71cdbd-94fe-4be2-969a-b41d006f85bc,OTA: 1 Night Rate,,false,true,true,false,Public,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,20%,0,,GBP,1,OTA BASE: Flexible
Public,Accommodation,OTA: Non Refundable,Non Refundable,,f56b91ee-5e65-4a53-8ee7-b41100ba350f,OTANONREF,,true,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-10%,0,,GBP,1,OTA BASE: Flexible
Residence Perks,Accommodation,PROMO - RESIDENTPERK,RESIDENTPERK,,e3fcfe61-4477-4b2d-861b-b3ed00fe63a8,PR,,false,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,f9df0eba-8788-4163-9c73-b3e00110df48,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Vouchers,Accommodation,Voucher £50,MASON-FIFTY,"Enjoy our exclusive launch rate and be one of the first to experience our brand-new Belsize Park building. Enjoy your private en-suite studio with double bed and kitchenette. Whilst enjoying a shared open kitchen, comfy guest lounge, and a private garden for when the sun shines. Enjoy daily 'help yourself' breakfasts and weekly Wine Down Fridays. This Studio-Only, non-refundable, non-amendable.",b61e7844-d08b-4c71-8e57-b41e006c2095,Voucher £50,,true,true,false,false,Private,Base,,,,,50,GBP,0,
Vouchers,Accommodation,Voucher 10%,Voucher 10%,,743a2320-d1be-4a61-a707-b41d012f6033,Voucher 10%,,false,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-10%,0,,GBP,1,OTA BASE: Flexible
Vouchers,Accommodation,Voucher 10%,Voucher 10%,,b9daee70-4b5a-491f-8f99-b42700e0c7bc,Voucher 10%,,true,true,false,false,Private,Dependent,M&F Insider - Best Flexible Rate,e36d255a-dda7-4405-9681-b425011accaa,-10%,0,,GBP,2,M&F Insider - Best Flexible Rate → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 15%,Voucher 15%,,c10f3226-5842-4efc-bed9-b41e006a5efc,Voucher 15%,,false,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-15%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 15%,Voucher 15%,,8c53faf0-ab85-48dc-8dd8-b42700e55c66,Voucher 15%,SEEYOUSOON,true,true,false,false,Private,Dependent,M&F Insider - Best Flexible Rate,e36d255a-dda7-4405-9681-b425011accaa,-15%,0,,GBP,2,M&F Insider - Best Flexible Rate → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 20%,Voucher 20%,,84169954-4f4e-42ce-a7c3-b41e006a9534,Voucher 20%,,false,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-20%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 20%,Voucher 20%,,d331903b-b8e3-4f61-a248-b42700e5a30b,Voucher 20%,,true,true,false,false,Private,Dependent,M&F Insider - Best Flexible Rate,e36d255a-dda7-4405-9681-b425011accaa,-20%,0,,GBP,2,M&F Insider - Best Flexible Rate → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 25%,Voucher 25%,,540c3542-0e05-40a9-ba56-b41e006ac56e,Voucher 25%,,false,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-25%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 25%,Voucher 25%,,19797e30-1de8-4599-b4a4-b42700e5da5a,Voucher 25%,,true,true,false,false,Private,Dependent,M&F Insider - Best Flexible Rate,e36d255a-dda7-4405-9681-b425011accaa,-25%,0,,GBP,2,M&F Insider - Best Flexible Rate → OTA BASE: Flexible
Vouchers,Accommodation,Voucher 50%,Voucher 50%,,d08e08f9-549c-412b-96ce-b42700e0f92a,Voucher 50%,,true,true,false,false,Private,Dependent,M&F Insider - Best Flexible Rate,e36d255a-dda7-4405-9681-b425011accaa,-50%,0,,GBP,2,M&F Insider - Best Flexible Rate → OTA BASE: Flexible
